timestamp,price,market_cap,total_volume,returns,volatility,ma_7,ma_21
2026-08-26 06:00:00,79060.71623282021,1587165620070.8298,35237495283.05165,0.31101794730157284,0.3212505634195423,78855.73758189996,78948.71282690653
2026-08-26 07:00:00,78930.1698975655,1584544866490.3494,34688242894.59615,-0.16512161978178286,0.2567580375427963,78915.58569417978,78937.92892222082
2026-08-26 08:00:00,78913.1467133613,1584203121386.0745,33454605529.69921,-0.02156739840581956,0.2570108487481788,78956.66159011655,78919.62672556986
2026-08-26 09:00:00,78675.50711949496,1579435116155.5613,33173696963.048756,-0.3011406891801349,0.27279132673699585,78937.29199281006,78898.57151667154
2026-08-26 10:00:00,78423.32059652456,1574373883824.3862,32181181180.599804,-0.3205400666656866,0.23020415156567844,78841.07661662427,78872.39754107078
2026-08-26 11:00:00,78712.43221920858,1580178839027.567,31798530431.300613,0.3686551659441317,0.2965784730840447,78790.12548503684,78877.70786927406
2026-08-26 12:00:00,78472.10325182501,1575355408849.1448,31372738056.167236,-0.30532529691659205,0.2944241724805831,78741.05657582858,78841.9426849179
2026-08-26 13:00:00,78325.11196243031,1572406229538.1104,31229186543.661987,-0.1873166173754659,0.2453553669810168,78635.97025148718,78786.04832898393
2026-08-26 14:00:00,78436.34785342895,1574639332097.0747,30328417185.10749,0.14201817043300036,0.2653429747744641,78565.42424518196,78752.5182809799
2026-08-26 15:00:00,77778.81759411356,1561441808074.6785,29677284994.192474,-0.8382979030896354,0.38373854066603047,78403.37722814655,78683.36867155117
2026-08-26 16:00:00,78011.0248049709,1566103463502.0105,29759849320.8647,0.29854813693506177,0.42380506440949267,78308.45118321455,78630.35366612655
2026-08-26 17:00:00,77992.9645061395,1565747212992.252,29696152375.473392,-0.02315095703018244,0.4152078559357073,78246.97174173097,78585.98667159134
2026-08-26 18:00:00,78425.3872558423,1574430508787.7944,29722477606.743145,0.5544381502113005,0.4527456571289197,78205.96531839293,78596.76424516567
2026-08-26 19:00:00,78462.78992712124,1575183348470.259,29661165650.820477,0.047692045379288395,0.43919204965951497,78204.63484343525,78591.84307396678
